English,Deutsch,Spanish,Portuguese
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
Food Poisoning,"Lebensmittelvergiftung, Übelkeit","Intoxicación alimentaria, náuseas","Intoxicação alimentar, náusea"
Appendicitis,"Blinddarmentzündung, starke Bauchschmerzen","Apendicitis, dolor abdominal severo","Apendicite, dor abdominal severa"
Gastritis,"Gastritis, Magenschmerzen","Gastritis, dolor en el estómago","Gastrite, dor no estômago"
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
Food Poisoning,"Lebensmittelvergiftung, Übelkeit","Intoxicación alimentaria, náuseas","Intoxicação alimentar, náusea"
Appendicitis,"Blinddarmentzündung, starke Bauchschmerzen","Apendicitis, dolor abdominal severo","Apendicite, dor abdominal severa"
Gastritis,"Gastritis, Magenschmerzen","Gastritis, dolor en el estómago","Gastrite, dor no estômago"
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
Food Poisoning,"Lebensmittelvergiftung, Übelkeit","Intoxicación alimentaria, náuseas","Intoxicação alimentar, náusea"
Appendicitis,"Blinddarmentzündung, starke Bauchschmerzen","Apendicitis, dolor abdominal severo","Apendicite, dor abdominal severa"
Gastritis,"Gastritis, Magenschmerzen","Gastritis, dolor en el estómago","Gastrite, dor no estômago"
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
Food Poisoning,"Lebensmittelvergiftung, Übelkeit","Intoxicación alimentaria, náuseas","Intoxicação alimentar, náusea"
Appendicitis,"Blinddarmentzündung, starke Bauchschmerzen","Apendicitis, dolor abdominal severo","Apendicite, dor abdominal severa"
Gastritis,"Gastritis, Magenschmerzen","Gastritis, dolor en el estómago","Gastrite, dor no estômago"
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
Food Poisoning,"Lebensmittelvergiftung, Übelkeit","Intoxicación alimentaria, náuseas","Intoxicação alimentar, náusea"
Appendicitis,"Blinddarmentzündung, starke Bauchschmerzen","Apendicitis, dolor abdominal severo","Apendicite, dor abdominal severa"
Gastritis,"Gastritis, Magenschmerzen","Gastritis, dolor en el estómago","Gastrite, dor no estômago"
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
Food Poisoning,"Lebensmittelvergiftung, Übelkeit","Intoxicación alimentaria, náuseas","Intoxicação alimentar, náusea"
Appendicitis,"Blinddarmentzündung, starke Bauchschmerzen","Apendicitis, dolor abdominal severo","Apendicite, dor abdominal severa"
Gastritis,"Gastritis, Magenschmerzen","Gastritis, dolor en el estómago","Gastrite, dor no estômago"
Ulcer,"Magengeschwür, brennender Schmerz","Úlcera gástrica, dolor ardiente","Úlcera gástrica, dor ardente"
Kidney Stones,"Nierensteine, starke Schmerzen","Cálculos renales, dolor intenso","Cálculos renais, dor intensa"
HIV/AIDS,"HIV/AIDS, Immunschwäche","VIH/SIDA, inmunodeficiencia","HIV/AIDS, imunodeficiência"
Diabetes,"Diabetes mellitus, erhöhter Blutzucker","Diabetes mellitus, azúcar en sangre alto","Diabetes mellitus, açúcar elevado no sangue"
Hypertension,"Bluthochdruck, erhöhter Blutdruck","Hipertensión arterial, presión sanguínea alta","Hipertensão arterial, pressão sanguínea elevada"
Asthma,"Asthma bronchiale, Atemnot","Asma bronquial, dificultad para respirar","Asma brônquica, dificuldade para respirar"
Pneumonia,"Lungenentzündung, Husten, Fieber","Neumonía, tos, fiebre","Pneumonia, tosse, febre"
Tuberculosis,"Tuberkulose, chronischer Husten","Tuberculosis, tos crónica","Tuberculose, tosse crônica"
Migraine,"Migräne, starke Kopfschmerzen","Migraña, dolor de cabeza intenso","Enxaqueca, dor de cabeça intensa"
Stroke,"Schlaganfall, plötzliche Lähmung","Derrame cerebral, parálisis repentina","Acidente vascular cerebral, paralisia súbita"
Heart Attack,"Herzinfarkt, Brustschmerzen","Ataque al corazón, dolor en el pecho","Ataque cardíaco, dor no peito"
Anemia,"Anämie, niedrige Hämoglobinwerte","Anemia, niveles bajos de hemoglobina","Anemia, níveis baixos de hemoglobina"
Arthritis,"Arthritis, Gelenkschmerzen","Artritis, dolor en las articulaciones","Artrite, dor nas articulações"
Osteoporosis,"Osteoporose, Knochenschwäche","Osteoporosis, fragilidad ósea","Osteoporose, fragilidade óssea"
Cancer,"Krebs, unkontrolliertes Zellwachstum","Cáncer, crecimiento celular incontrolado","Câncer, crescimento celular descontrolado"
Leukemia,"Leukämie, Blutkrebs","Leucemia, cáncer en la sangre","Leucemia, câncer no sangue"
Hepatitis,"Hepatitis, Leberentzündung","Hepatitis, inflamación del hígado","Hepatite, inflamação do fígado"
Cirrhosis,"Leberzirrhose, geschädigte Leber","Cirrosis hepática, hígado dañado","Cirrose hepática, fígado danificado"
Parkinson's Disease,"Parkinson-Krankheit, Zittern","Enfermedad de Parkinson, temblores","Doença de Parkinson, tremores"
Alzheimer's Disease,"Alzheimer-Krankheit, Gedächtnisverlust","Enfermedad de Alzheimer, pérdida de memoria","Doença de Alzheimer, perda de memória"
Epilepsy,"Epilepsie, Krampfanfälle","Epilepsia, convulsiones","Epilepsia, convulsões"
Multiple Sclerosis,"Multiple Sklerose, Nervenschäden","Esclerosis múltiple, daño en los nervios","Esclerose múltipla, danos nos nervos"
Depression,"Depression, anhaltende Traurigkeit","Depresión, tristeza persistente","Depressão, tristeza persistente"
Schizophrenia,"Schizophrenie, Halluzinationen","Esquizofrenia, alucinaciones","Esquizofrenia, alucinações"
Obsessive Compulsive Disorder,"Zwangsstörung, zwanghafte Gedanken","Trastorno obsesivo-compulsivo, pensamientos obsesivos","Transtorno obsessivo-compulsivo, pensamentos obsessivos"
Bipolar Disorder,"Bipolare Störung, extreme Stimmungsschwankungen","Trastorno bipolar, cambios extremos de humor","Transtorno bipolar, mudanças extremas de humor"
Skin Cancer,"Hautkrebs, bösartige Hautveränderungen","Cáncer de piel, cambios malignos en la piel","Câncer de pele, alterações malignas na pele"
Melanoma,"Melanom, dunkle Hautflecken","Melanoma, manchas oscuras en la piel","Melanoma, manchas escuras na pele"
Psoriasis,"Psoriasis, schuppige Haut","Psoriasis, piel escamosa","Psoríase, pele escamosa"
Eczema,"Ekzem, Hautausschlag","Eccema, erupción cutánea","Eczema, erupção cutânea"
